,順位,コード,名称,市場,時価総額,上場年月日,取引値,決算年月
161,162,7110,(株)クラシコム,東証GRT,10650,2022-08-05,1445.0,2023/07
162,163,5036,日本ビジネスシステムズ(株),東証STD,75065,2022-08-02,1552.0,2023/09
163,164,9557,(株)エアークローゼット,東証GRT,3272,2022-07-29,399.0,2023/06
164,165,5034,(株)ｕｎｅｒｒｙ,東証GRT,7715,2022-07-28,2070.0,2023/06
165,166,5035,ＨＯＵＳＥＩ(株),東証GRT,3611,2022-07-28,509.0,2022/12
166,167,9556,ＩＮＴＬＯＯＰ(株),東証GRT,15295,2022-07-08,3305.0,2023/07
167,168,9554,(株)ＡＶｉＣ,東証GRT,5329,2022-06-30,869.0,2023/09
168,169,9553,(株)マイクロアド,東証GRT,17233,2022-06-29,626.0,2023/09
169,170,5033,(株)ヌーラボ,東証GRT,8024,2022-06-28,1243.0,2023/03
170,171,9552,(株)Ｍ＆Ａ総研ホールディングス,東証PRM,368966,2022-06-28,6300.0,2023/09
171,172,7794,(株)イーディーピー,東証GRT,16472,2022-06-27,1254.0,2023/03
172,173,9229,(株)サンウェルズ,東証GRT,85127,2022-06-27,2417.0,2023/03
173,174,9227,マイクロ波化学(株),東証GRT,21884,2022-06-24,1407.0,2023/03
174,175,2999,ホームポジション(株),東証STD,1905,2022-06-23,318.0,2023/08
175,176,4890,(株)坪田ラボ,東証GRT,6957,2022-06-23,272.0,2023/03
176,177,7386,ジャパンワランティサポート(株),東証GRT,11771,2022-06-23,5110.0,2023/09
177,178,2984,ヤマイチ・ユニハイムエステート(株),東証STD,6911,2022-06-20,962.0,2023/03
178,179,5032,ＡＮＹＣＯＬＯＲ(株),東証PRM,201351,2022-06-08,3195.0,2023/04
179,180,5026,(株)トリプルアイズ,東証GRT,5130,2022-05-31,695.0,2023/08
180,181,2998,クリアル(株),東証GRT,30552,2022-04-28,5230.0,2023/03
181,182,7140,ペットゴー(株),東証GRT,1713,2022-04-28,922.0,2023/03
182,183,2997,(株)ストレージ王,東証GRT,1021,2022-04-27,553.0,2023/01
183,184,5031,モイ(株),東証GRT,3212,2022-04-27,230.0,2023/01
184,185,9221,フルハシＥＰＯ(株),東証STD,10549,2022-04-21,897.0,2023/03
185,186,9223,(株)ＡＳＮＯＶＡ,東証GRT,6816,2022-04-21,1096.0,2023/03
186,187,5029,サークレイス(株),東証GRT,2252,2022-04-12,527.0,2023/03
187,188,9220,エフビー介護サービス(株),東証STD,3040,2022-04-07,1136.0,2023/03
